"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*068a7*","Pablo Sarabia","WOL","M","771","NT 5","31","CRY Sat 7:00AM","0","0","8%","332.13","67%","-5.7%"
"*062dt*","Jo?o Palhinha","FUL","M","578","ColeFC","28","MCI Sat 4:30AM","0","0","29%","144.89","67%","0%"
"*04spw*","James Garner","EVE","M","446","BenM01","23","SHU Sat 7:00AM","0","0","5%","381.64","66%","+0.4%"
"*05ohc*","Sergio Reguilon","BRF","D","742","BudsNBec","27","@BOU Sat 7:00AM","0","0","8%","313.97","65%","+2.4%"
"*0626q*","Simon Adingra","BHA","F","226","NT 5","22","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","9%","315.91","63%","-1%"
"*06fg0*","Gustavo Hamer","SHU","M","482","ColeFC","26","@EVE Sat 7:00AM","0","0","0%","1152.16","62%","+4%"
"*06cm0*","Christopher Nkunku","CHE","F","659","BenM01","26","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","98%","43.76","62%","+1.3%"
"*05o4b*","Matty Cash","AVL","D","335","W (Thu)","26","LIV Mon 12:00PM","0","0","93%","106.78","61%","+4%"
"*068ym*","Enzo Fernandez","CHE","M","425","julian","23","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","99%","73.21","60%","-5.1%"
"*05nt7*","Thiago Silva","CHE","D","887","BudsNBec","39","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","78%","124.28","60%","-11.2%"
"*063zg*","Pervis Estupinan","BHA","D","417","W (Thu)","26","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","100%","42.99","60%","-4.1%"
"*05opk*","Vladimir Coufal","WHU","D","358","W (Thu)","31","LUT Sat 7:00AM","0","0","15%","266.04","59%","-0.8%"
"*06clu*","Mark Flekken","BRF","G","426","W (Thu)","30","@BOU Sat 7:00AM","0","0","57%","136.7","59%","+0.2%"
"*05rb8*","Moises Caicedo","CHE","M","322","W (Thu)","22","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","91%","101.42","59%","-3.2%"
"*06clz*","Malo Gusto","CHE","D","476","Pain","20","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","10%","307.01","57%","-9.7%"
"*06clt*","Justin Kluivert","BOU","M","555","W (Thu)","25","BRF Sat 7:00AM","0","0","72%","128.68","57%","-2.1%"
"*06crm*","Pau Torres","AVL","D","822","Pain","27","LIV Mon 12:00PM","0","0","93%","107.36","56%","+0.1%"
"*05w9i*","Marc Cucurella","CHE","D","365","W (Thu)","25","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","33%","151.65","56%","+2.7%"
"*0649i*","Antony","MUN","F","898","W (Thu)","24","ARS Sun 8:30AM NEW Wed12:00PM","0","0","99%","64.5","54%","+10.9%"
"*063y7*","Iyenoma Destiny Udogie","TOT","D","837","W (Thu)","21","BUR Sat 7:00AM MCI Tue12:00PM","0","0","87%","111.29","52%","-3.5%"
"*062p5*","Levi Colwill","CHE","D","354","W (Thu)","21","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","82%","119.34","52%","+1.5%"
"*05o4c*","Timothy Castagne","FUL","D","337","W (Thu)","28","MCI Sat 4:30AM","0","0","0%","-","51%","+9.3%"
"*06ezb*","Micky van de Ven","TOT","D","901","W (Thu)","23","BUR Sat 7:00AM MCI Tue12:00PM","0","0","17%","221.35","51%","-4.4%"
"*068y0*","Antoine Semenyo","BOU","F","784","W (Thu)","24","BRF Sat 7:00AM","0","0","0%","1068.21","51%","-13%"
"*05oef*","Alphonse Areola","WHU","G","257","DGPFC","31","LUT Sat 7:00AM","0","0","2%","399.56","50%","+5.1%"
"*04io3*","Mario Lemina","WOL","M","571","W (Thu)","30","CRY Sat 7:00AM","0","0","0%","1183.66","49%","-1.4%"
"*05vyj*","Evan Ferguson","BHA","F","422","BenM01","19","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","97%","79.65","49%","-1.3%"
"*0639x*","Marcus Tavernier","BOU","M","810","W (Thu)","25","BRF Sat 7:00AM","0","0","34%","147.53","49%","-1.7%"
"*06jgi*","Daniel Munoz","CRY","D","642","julian","27","@WOL Sat 7:00AM","0","0","0%","-","48%","+2.1%"
"*062ci*","Kaoru Mitoma","BHA","M","627","W (Thu)","26","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","100%","19.36","48%","-0.3%"
"*05os4*","Rayan Ait-Nouri","WOL","D","234","W (Thu)","22","CRY Sat 7:00AM","0","0","3%","381.72","48%","-11%"
"*05ybq*","Vitalii Mykolenko","EVE","D","651","W (Thu)","24","SHU Sat 7:00AM","0","0","4%","385.65","48%","-19.1%"
"*05w7t*","Pape Sarr","TOT","M","774","W (Thu)","21","BUR Sat 7:00AM MCI Tue12:00PM","0","0","2%","371.62","47%","-1%"
"*063e3*","Neto","BOU","G","644","W (Thu)","34","BRF Sat 7:00AM","0","0","6%","359.35","47%","-7.2%"
"*063e7*","Marcos Senesi","BOU","D","785","NT 7","26","BRF Sat 7:00AM","0","0","3%","398.06","46%","-1%"
"*06fuw*","Djordje Petrovic","CHE","G","713","BudsNBec","24","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","0%","-","44%","+1.1%"
"*04rzl*","Taiwo Awoniyi","NOT","F","262","W (Thu)","26","CHE Sat 9:30AM","0","0","51%","137.96","44%","+0.6%"
"*05tr8*","Christian Norgaard","BRF","M","660","BenM01","30","@BOU Sat 7:00AM","0","0","19%","218.63","44%","-0.1%"
"*04spq*","Jack Harrison","EVE","M","491","W (Thu)","27","SHU Sat 7:00AM","0","0","0%","1101.63","44%","+1.8%"
"*061xs*","Julio Enciso","BHA","F","414","W (Thu)","20","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","96%","85.2","44%","+0.8%"
"*05uhj*","Conor Bradley","LIV","D","305","W (Thu)","20","@AVL Mon 12:00PM","0","0","2%","1057.69","43%","-1%"
"*05mxc*","Timo Werner","TOT","F","858","NT 7","28","BUR Sat 7:00AM MCI Tue12:00PM","0","0","0%","-","42%","-25.6%"
"*062a9*","Sven Botman","NEW","D","303","W (Thu)","24","BHA Sat 7:00AM @MUN Wed12:00PM","0","0","99%","82.67","41%","-0.5%"
"*03am7*","Jacob Murphy","NEW","M","647","W (Thu)","29","BHA Sat 7:00AM @MUN Wed12:00PM","0","0","5%","365.9","41%","+8.3%"
"*05u1m*","Nathan Collins","BRF","D","352","W (Thu)","23","@BOU Sat 7:00AM","0","0","5%","349.96","41%","+2%"
"*0666p*","Kobbie Mainoo","MUN","M","589","Pain","19","ARS Sun 8:30AM NEW Wed12:00PM","0","0","1%","1143.05","41%","+0.7%"
"*05ojg*","N?lson Semedo","WOL","D","321","W (Thu)","30","CRY Sat 7:00AM","0","0","6%","362.95","39%","-4%"
"*0687b*","Alex Moreno","AVL","D","634","W (Thu)","30","LIV Mon 12:00PM","0","0","98%","88.08","39%","-0.6%"
"*068sd*","Jakub Kiwior","ARS","D","554","W (Thu)","24","@MUN Sun 8:30AM","0","0","1%","1125.76","38%","-0.3%"
"*05tre*","Vitaly Janelt","BRF","M","528","W (Thu)","25","@BOU Sat 7:00AM","0","0","2%","1119.71","38%","-0.6%"
"*06ew2*","Axel Disasi","CHE","D","387","NT 7","26","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","19%","207.25","37%","-3.2%"
"*05w9q*","Odsonne Edouard","CRY","F","408","W (Thu)","26","@WOL Sat 7:00AM","0","0","18%","222.32","35%","-0.4%"
"*06dmj*","Jurrien Timber","ARS","D","815","W (Thu)","22","@MUN Sun 8:30AM","0","0","97%","82.84","35%","+2.7%"
"*05up6*","Raphael Varane","MUN","D","842","W (Thu)","31","ARS Sun 8:30AM NEW Wed12:00PM","0","0","81%","118.85","34%","-0.2%"
"*05s08*","Valentino Livramento","NEW","D","577","DGPFC","21","BHA Sat 7:00AM @MUN Wed12:00PM","0","0","12%","267.97","34%","+13.7%"
"*06c6c*","Elijah Adebayo","LUT","F","224","W (Thu)","26","@WHU Sat 7:00AM","0","0","18%","228.49","33%","+9.8%"
"*06igk*","Ben Brereton","SHU","F","306","W (Thu)","25","@EVE Sat 7:00AM","0","0","0%","-","33%","+2.7%"
"*06jgs*","Adam Wharton","CRY","M","859","W (Thu)","20","@WOL Sat 7:00AM","0","0","0%","-","32%","+3.9%"
"*05w9r*","Takehiro Tomiyasu","ARS","D","819","W (Thu)","25","@MUN Sun 8:30AM","0","0","3%","377.32","31%","+6.8%"
"*03yeg*","Tosin Adarabioyo","FUL","D","222","W (Thu)","26","MCI Sat 4:30AM","0","0","2%","387.9","31%","-1.8%"
"*05uht*","Morgan Rogers","AVL","F","753","W (Thu)","21","LIV Mon 12:00PM","0","0","0%","-","30%","+12%"
"*05oeh*","Kenny Tete","FUL","D","813","W (Thu)","28","MCI Sat 4:30AM","0","0","97%","91.8","30%","+0.1%"
"*062pl*","Lisandro Martinez","MUN","D","597","W (Thu)","26","ARS Sun 8:30AM NEW Wed12:00PM","0","0","96%","92.84","30%","+0.2%"
"*05y9n*","Lewis Hall","NEW","D","481","W (Thu)","19","BHA Sat 7:00AM @MUN Wed12:00PM","0","0","29%","147.37","30%","+0.8%"
"*051k3*","Jacob Ramsey","AVL","M","736","BenM01","22","LIV Mon 12:00PM","0","0","87%","110.99","30%","-0.4%"
"*068yd*","Joao Gomes","WOL","M","458","W (Thu)","23","CRY Sat 7:00AM","0","0","2%","1119.6","29%","-6%"
"*05oyq*","Said Benrahma","WHU","M","289","W (Thu)","28","LUT Sat 7:00AM","0","0","96%","93.89","29%","0%"
"*062x7*","Rico Lewis","MCI","D","574","W (Thu)","19","@FUL Sat 4:30AM @TOT Tue12:00PM","0","0","22%","188.65","29%","-2.4%"
"*050jq*","Marc Guehi","CRY","D","472","W (Thu)","23","@WOL Sat 7:00AM","0","0","52%","136.61","28%","-0.1%"
"*05uel*","Kristoffer Ajer","BRF","D","235","W (Thu)","26","@BOU Sat 7:00AM","0","0","0%","1146.53","28%","+0.9%"
"*04gw6*","Arijanet Muric","BUR","G","645","W (Thu)","25","@TOT Sat 7:00AM","0","0","1%","1131.77","27%","+8.8%"
"*068lx*","Dango Ouattara","BOU","F","696","W (Thu)","22","BRF Sat 7:00AM","0","0","55%","132.7","26%","0%"
"*05oh0*","Jan-Paul van Hecke","BHA","D","899","W (Thu)","23","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","1%","1145.38","25%","-3.8%"
"*067zv*","Kevin Schade","BRF","M","780","W (Thu)","22","@BOU Sat 7:00AM","0","0","41%","143.4","25%","-0.6%"
"*06cms*","Sandro Tonali","NEW","M","820","W (Thu)","23","BHA Sat 7:00AM @MUN Wed12:00PM","0","0","98%","79.58","25%","+0.1%"
"*06fhy*","Wilson Odobert","BUR","F","671","W (Thu)","19","@TOT Sat 7:00AM","0","0","0%","-","24%","+1%"
"*068yi*","Illia Zabarnyi","BOU","D","880","W (Thu)","21","BRF Sat 7:00AM","0","0","0%","1208.77","24%","-3.9%"
"*04gw7*","Jadon Sancho","MUN","M","766","W (Thu)","24","ARS Sun 8:30AM NEW Wed12:00PM","0","0","97%","90.47","24%","0%"
"*06cm4*","Chiedozie Ogbene","LUT","F","674","W (Thu)","27","@WHU Sat 7:00AM","0","0","1%","1111.24","22%","-2.4%"
"*05os9*","Thomas Partey","ARS","M","702","W (Thu)","30","@MUN Sun 8:30AM","0","0","25%","151.19","21%","+0.1%"
"*05w9m*","Emerson Royal","TOT","D","570","julian","25","BUR Sat 7:00AM MCI Tue12:00PM","0","0","29%","149.26","21%","+3.2%"
"*063zi*","Matheus Nunes","MCI","M","662","W (Thu)","25","@FUL Sat 4:30AM @TOT Tue12:00PM","0","0","30%","151.65","21%","-0.7%"
"*06f81*","Edson Alvarez","WHU","M","241","W (Thu)","26","LUT Sat 7:00AM","0","0","7%","328.25","20%","+0.5%"
"*068yr*","Hamed Traore","BOU","M","827","W (Thu)","24","BRF Sat 7:00AM","0","0","72%","122.24","20%","0%"
"*03scr*","Aleksandar Mitrovic","FUL","F","628","W (Thu)","29","MCI Sat 4:30AM","0","0","94%","81.44","20%","0%"
"*067z4*","David Datro Fofana","BUR","F","428","W (Thu)","21","@TOT Sat 7:00AM","0","0","0%","1052.6","20%","-1.7%"
"*05ylw*","Rodrigo Bentancur","TOT","M","290","W (Thu)","26","BUR Sat 7:00AM MCI Tue12:00PM","0","0","15%","253.77","19%","-4.1%"
"*063hu*","Amadou Onana","EVE","M","685","W (Thu)","22","SHU Sat 7:00AM","0","0","13%","280.14","19%","-1.1%"
"*04mup*","Trevoh Chalobah","CHE","D","339","W (Thu)","24","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","1%","1152.7","19%","+9.5%"
"*04gpx*","Dara O'Shea","BUR","D","669","W (Thu)","25","@TOT Sat 7:00AM","0","0","1%","1148.64","19%","+0.9%"
"*062cw*","Stefan Ortega Moreno","MCI","G","692","W (Thu)","31","@FUL Sat 4:30AM @TOT Tue12:00PM","0","0","1%","1158.05","19%","+13.5%"
"*06804*","Benoit Badiashile","CHE","D","264","W (Thu)","23","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","11%","306.16","18%","+2.7%"
"*061yd*","Ivan Perisic","TOT","M","711","W (Thu)","35","BUR Sat 7:00AM MCI Tue12:00PM","0","0","55%","135","18%","0%"
"*06c4o*","Lyle Foster","BUR","F","432","W (Thu)","23","@TOT Sat 7:00AM","0","0","1%","1120.93","18%","+0.3%"
"*05oz3*","James Trafford","BUR","G","823","W (Thu)","21","@TOT Sat 7:00AM","0","0","17%","236.81","17%","-0.6%"
